stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.876112,1,1217,-79.42666,,,,,RICHMOND HILL GO STATION PLATFORM 5,0,1753,
43.876212,1,1215,-79.426462,,,,,RICHMOND HILL GO STATION PLATFORM 4,0,1752,
43.87626,1,1213,-79.426249,,,,,RICHMOND HILL GO STATION PLATFORM 3,0,1751,
43.876306,1,1211,-79.426032,,,,,RICHMOND HILL GO STATION PLATFORM 2,0,1750,
43.866738,2,4623,-79.436362,,,,,YONGE ST / HARDING BLVD,0,1177,
43.83194,1,4620,-79.616747,,,,,ISLINGTON AV / MAJOR MACKENZIE DR,0,1176,
43.835623,2,4617,-79.468063,,,,THORNHILL WOODS DR & AUTUMN HILL BLVD,THORNHILL WOODS DR / AUTUMN HILL BL,0,1175,
43.78913,1,4615,-79.527941,,,,,INTERCHANGE WAY / EXCHANGE AV,0,1174,
43.839487,1,4614,-79.564916,,,,,FOSSIL HILL RD / MARIA ANTONIA RD,0,1173,
43.840537,1,4612,-79.560086,,,,,MARIA ANTONIA RD / WESTON RD,0,1172,
43.843611,1,4611,-79.530307,,,,,MELVILLE AV / NORWOOD AV,0,1171,
43.85634,2,4610,-79.544393,,,,,TIERRA AV / TREASURE RD,0,1170,
43.886966,2,1954,-79.392845,,,,,LESLIE ST STOP # 1954,0,2259,
43.855393,1,2912,-79.392512,,,,,WEST BEAVER CREEK RD STOP # 2912,0,4253,
43.84981,1,2914,-79.390391,,,,,WEST BEAVER CREEK RD STOP # 2914,0,4255,
43.851542,1,2913,-79.392786,,,,WEST BEAVER CREEK RD & WEST WILMONT ST,WEST BEAVER CREEK RD / WEST WILMOT,0,4254,
43.818772,1,4625,-79.603197,,,,,ISLINGTON AV / TURNING LEAF DR,0,1179,
43.869491,1,4624,-79.436989,,,,,YONGE ST / HOPKINS ST,0,1178,
43.939944,1,6229,-79.42978,,,,,OLD COLONY RD / BAYVIEW AVE,0,5533,
43.973518,2,6226,-79.489479,,,,,BATHURST ST STOP# 6226,0,5532,
43.877361,2,6221,-79.484685,,,,LADY FENYROSE AVE & MIDVALE HEIGHTS LANE,LADY FENYROSE AVE / MIDVALE HEIGHTS,0,5531,
43.897133,2,VNBRYNSB,-79.443353,,,,YONGE ST,VIRTUAL STOP FOR BRYN SB,0,5530,
43.999965,1,6244,-79.465904,,,,,WELLINGTON ST E / VICTORIA ST,0,5537,
43.880988,1,6236,-79.481903,,,,,TESTON RD / VIA ROMANO BLVD,0,5536,
43.782136,1,6235,-79.415048,,,,PLATFORM # 3 ,FINCH GO BUS TERMINAL PLATFORM 3,0,5535,
43.852505,2,6230,-79.527243,,,,,MCNAUGHTON RD / MAJOR MACKENZIE DR,0,5534,
43.776161,1,9822,-79.500479,,,,IAN MACDONALD BLVD & VANIER LANE,YORK UNIVERSITY,0,123,
43.887033,1,6228,-79.367353,,,,,WOODBINE AVE / MAJOR MACKENZIE DR,0,5538,
43.800667,2,4130,-79.498691,,,,,HIGHWAY 7 / KEELE ST,0,1005,
43.720413,1,4944,-79.602946,,,,,QUEENS PLATE DR STOP # 4944,0,1285,
43.722135,1,4943,-79.598064,,,,,HIGHWAY 27 / QUEENS PLATE DR,0,1284,
43.871414,2,4950,-79.436912,,,,,MAJOR MACKENZIE DR / YONGE ST,0,1287,
43.802512,2,4129,-79.490175,,,,,HIGHWAY 7 / BOWES RD,0,1004,
43.804242,1,4937,-79.569368,,,,,LANGSTAFF RD / BALDING BLVD,0,1281,
43.802298,1,4936,-79.578256,,,,,LANGSTAFF RD / PINE VALLEY DR,0,1280,
43.802648,1,4939,-79.577603,,,,,LANGSTAFF RD / PINE VALLEY DR,0,1283,
43.804546,1,4938,-79.568742,,,,,LANGSTAFF RD / BALDING BLVD,0,1282,
43.834906,1,3049,-79.555134,,,,,ASHBERRY BLVD / AVOCET DR,0,515,
43.890625,1,4956,-79.347426,,,,,MAJOR MACKENZIE DR / OLD 17TH AV,0,1289,
43.807051,1,4049,-79.468572,,,,,CENTRE ST / CONCORD RD,0,1002,
43.786536,1,3727,-79.573565,,,,,PINE VALLEY DR / ROYAL GARDEN BLVD,0,876,
43.807111,1,3455,-79.587014,,,,,ISLINGTON AV / KILORAN AV,0,689,
43.80193,1,3454,-79.584817,,,,,ISLINGTON AV / LANGSTAFF RD,0,688,
43.788405,2,3728,-79.573996,,,,,PINE VALLEY DR / EMBASSY DR,0,877,
43.795148,1,3451,-79.584553,,,,,ISLINGTON AV / HARTMAN AV,0,685,
43.791961,1,3450,-79.584551,,,,,ISLINGTON AV / WILLIS RD,0,684,
43.860255,1,5806,-79.519195,,,,,MCNAUGHTON RD / ST. JOAN OF ARC AV,0,1571,
43.797703,1,3452,-79.584636,,,,,ISLINGTON AV / PINE GROVE RD,0,686,
43.780362,1,3447,-79.588838,,,,,ISLINGTON AV / HIGHWAY 7,0,681,
43.7791,1,3446,-79.586222,,,,,ISLINGTON AV / PIONEER LANE,0,680,
43.789346,1,3449,-79.586503,,,,,ISLINGTON AV / THISTLEWOOD AV,0,683,
43.786541,2,3448,-79.58876,,,,,ISLINGTON AV / WOODBRIDGE AV,0,682,
43.852442,2,2923,-79.377688,,,,,EAST BEAVER CREEK RD / FULTON WAY,0,4260,
43.785061,1,3726,-79.573197,,,,,PINE VALLEY DR / HIGHWAY 7,0,875,
43.817482,1,3322,-79.45012,,,,,ATKINSON AV / ROSEDALE HEIGHTS DR,0,569,
43.823978,2,3388,-79.417155,,,,,ROYAL ORCHARD BLVD / BAY THORN DR,0,622,
43.767866,1,3723,-79.567122,,,,,PINE VALLEY DR / HANLAN RD,0,872,
43.897781,1,4807,-79.318429,,,,,MAJOR MACKENZIE DR / KENNEDY RD,0,1240,
43.833869,1,4780,-79.564625,,,,,FOSSIL HILL RD / DAVOS RD,0,1225,
43.77994,1,3724,-79.571887,,,,,PINE VALLEY DR / STRADA DR,0,873,
